City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Jieshi,CN,84.2,broken clouds,22.8134,115.8257,Yuehai Hotel
236,Callaway,US,76.96,overcast clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
237,Buraydah,SA,82.85,clear sky,26.326,43.975,فندق راحة السلام
239,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
241,Kashmor,PK,89.33,clear sky,28.4333,69.5833,Shah Madina Hotel
243,Airai,TL,75.45,few clouds,-8.9266,125.4092,Juvinal Martin
245,San Blas,MX,79.63,broken clouds,21.5167,-105.2667,Hotel Posada del Rey
256,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
258,Cobija,BO,79.3,broken clouds,-11.0267,-68.7692,Hotel Obelisco
260,Bowen,AU,75.47,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
264,Dzilam Gonzalez,MX,80.62,broken clouds,21.2833,-88.9333,posadas
269,Qeshm,IR,85.89,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
274,Monteria,CO,76.96,overcast clouds,8.748,-75.8814,Hotel Sinu
275,Bela,IN,81.64,clear sky,25.9333,81.9833,Raj Bhawan
280,Male,MV,82.53,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
283,Curuguaty,PY,77.7,overcast clouds,-24.4694,-55.6945,La Esquina del Tereré
284,Cairns,AU,87.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
286,Shimoda,JP,77.36,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
287,Dingle,PH,84.76,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
298,Boyolangu,ID,81.19,broken clouds,-8.1181,111.8935,Yos ega cv
302,Presidencia Roque Saenz Pena,AR,78.6,overcast clouds,-26.7852,-60.4388,Hotel Gualok
305,Camargo,MX,81.66,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
310,Port Hedland,AU,89.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
314,Samarai,PG,78.51,overcast clouds,-10.6167,150.6667,Nuli Sapi
315,Boca Do Acre,BR,76.33,scattered clouds,-8.7522,-67.3978,Hotel Sao Pedro
316,Kudahuvadhoo,MV,82.54,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
318,Simpang,ID,79.97,overcast clouds,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
324,Ishigaki,JP,86.13,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
327,Kalmunai,LK,80.98,overcast clouds,7.4167,81.8167,VS Villa
330,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
332,Bandarbeyla,SO,78.98,overcast clouds,9.4942,50.8122,JABIR HOTEL
334,Santa Catalina,PH,84.24,broken clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
336,Coahuayana,MX,77.38,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
340,Gizo,SB,84.02,light rain,-8.103,156.8419,Imagination Island
342,Yining,CN,88.63,clear sky,29.0361,114.5636,Xiushui Hotel
343,Les Cayes,HT,78.58,scattered clouds,18.2,-73.75,Villa Orphee
344,Trinidad,BO,85.95,scattered clouds,-14.8333,-64.9,Hotel Piesta
345,Westport,US,76.77,clear sky,41.1415,-73.3579,The Westport Inn
347,Raymore,US,78.48,clear sky,38.8019,-94.4527,Quality Inn Belton - Kansas City South
348,Shenjiamen,CN,76.71,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
351,Jacksonville,US,82.04,haze,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
362,Aransas Pass,US,84.97,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
363,Kulhudhuffushi,MV,82.08,scattered clouds,6.6221,73.07,Hondaafushi Island Resort
364,Conceicao Do Araguaia,BR,84.9,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
369,San Pedro,PH,81.63,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
375,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
378,Sabang,ID,81.7,overcast clouds,5.8933,95.3214,Hotel Citra
381,Dayong,CN,87.48,clear sky,25.0209,118.2898,Haiyue Express Hotel
