City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Jiuquan,CN,39.7432,98.5174,74.05,19,53,15.59,broken clouds
81,Aklavik,CA,68.2191,-135.0107,45.32,78,100,5.46,overcast clouds
82,Taoudenni,ML,22.6783,-3.9836,94.03,17,16,22.3,few clouds
83,Mar Del Plata,AR,-38.0023,-57.5575,51.82,100,90,8.05,overcast clouds
84,New Norfolk,AU,-42.7826,147.0587,60.3,71,100,8.01,overcast clouds
85,Carnarvon,AU,-24.8667,113.6333,71.67,43,0,16.11,clear sky
86,Ust-Omchug,RU,61.15,149.6333,41.7,95,100,5.12,moderate rain
87,Yellowknife,CA,62.456,-114.3525,46.92,57,75,16.11,broken clouds
88,Vostok,RU,46.4856,135.8833,53.64,39,92,7.94,overcast clouds
89,Nishihara,JP,26.1842,127.7558,85.28,77,20,8.05,few clouds
90,Kodiak,US,57.79,-152.4072,52.11,54,1,6.87,clear sky
91,Dingzhou,CN,38.5131,114.9956,62.71,97,100,7.31,light rain
92,Brae,GB,60.3964,-1.353,57.11,94,83,16.75,broken clouds
93,Maceio,BR,-9.6658,-35.7353,72.84,94,20,4.61,few clouds
94,Angra Dos Reis,BR,-23.0067,-44.3181,67.96,94,20,2.84,few clouds
95,Hit,IQ,33.6416,42.8251,80.35,29,0,6.73,clear sky
96,Hennenman,ZA,-27.9765,27.0242,48.72,64,14,11.27,few clouds
97,Klaksvik,FO,62.2266,-6.589,54.52,87,100,22.77,overcast clouds
98,Hamilton,US,39.1834,-84.5333,77.85,80,1,0.0,clear sky
99,Poum,NC,-20.2333,164.0167,71.1,62,0,4.7,clear sky
100,Rorvik,NO,64.8621,11.2373,50.54,66,89,15.55,overcast clouds
101,Paducah,US,37.0834,-88.6001,73.62,95,1,3.44,clear sky
102,Poiares,PT,40.2103,-8.2575,61.12,95,6,2.55,clear sky
103,Kupang,ID,-10.1667,123.5833,90.18,43,20,20.71,few clouds
104,Pisco,PE,-13.7,-76.2167,60.85,82,90,13.8,overcast clouds
105,Port-Gentil,GA,-0.7193,8.7815,77.09,80,100,10.49,overcast clouds
106,Pocoes,BR,-14.5297,-40.3653,58.48,89,8,3.78,clear sky
107,Hualmay,PE,-11.0964,-77.6139,61.07,83,68,9.64,broken clouds
108,Bonfim,BR,3.0833,-59.95,79.7,74,99,4.05,overcast clouds
109,Talnakh,RU,69.4865,88.3972,40.98,97,100,3.62,light rain
110,Brazzaville,CG,-4.2658,15.2832,75.56,69,100,6.91,overcast clouds
111,Pahrump,US,36.2083,-115.9839,86.11,9,0,1.01,clear sky
112,Puerto Varas,CL,-41.3195,-72.9854,46.62,87,90,2.3,overcast clouds
113,Cape Town,ZA,-33.9258,18.4232,58.1,82,75,4.0,light rain
114,Constitucion,CL,-35.3333,-72.4167,49.3,76,16,12.86,few clouds
115,Fort Nelson,CA,58.8053,-122.7002,45.99,81,75,3.44,broken clouds
116,Sinnamary,GF,5.3833,-52.95,78.35,87,56,7.52,broken clouds
117,Pangnirtung,CA,66.1451,-65.7125,32.79,83,100,3.91,overcast clouds
118,Diamantino,BR,-14.4086,-56.4461,81.36,25,0,5.08,clear sky
119,Georgetown,MY,5.4112,100.3354,84.13,82,20,3.44,few clouds
120,Kargil,IN,34.5667,76.1,56.95,55,0,4.59,clear sky
121,Coihaique,CL,-45.5752,-72.0662,40.41,92,91,4.47,overcast clouds
122,Lockport,US,41.5895,-88.0578,69.98,78,1,13.8,clear sky
123,Bredasdorp,ZA,-34.5322,20.0403,49.28,93,2,5.75,clear sky
124,Salalah,OM,17.0151,54.0924,80.69,89,75,5.75,broken clouds
125,Puerto Escondido,MX,15.85,-97.0667,81.43,61,90,2.3,overcast clouds
126,Antalaha,MG,-14.9003,50.2788,70.99,84,99,4.18,overcast clouds
127,Champerico,GT,14.3,-91.9167,83.28,83,30,6.78,scattered clouds
128,Barbosa Ferraz,BR,-24.03,-52.0117,84.49,61,5,3.24,clear sky
129,Monrovia,LR,6.3005,-10.7969,75.09,93,100,5.82,light rain
130,Geraldton,AU,-28.7667,114.6,68.41,49,4,14.97,clear sky
131,Axim,GH,4.8699,-2.2405,74.7,93,100,5.06,overcast clouds
132,Sao Filipe,CV,14.8961,-24.4956,78.98,82,75,5.21,broken clouds
133,Vanderhoof,CA,54.0166,-124.0198,50.23,62,100,5.75,overcast clouds
134,Moron,AR,-34.6534,-58.6198,62.02,93,0,1.99,light rain
135,Portland,US,45.5234,-122.6762,61.47,87,59,1.01,broken clouds
136,Arraial Do Cabo,BR,-22.9661,-42.0278,70.07,90,8,5.75,clear sky
137,Viedma,AR,-40.8135,-62.9967,49.71,73,100,6.35,overcast clouds
138,Elmadag,TR,39.9208,33.2308,55.53,56,16,2.15,few clouds
139,Teknaf,BD,20.8624,92.3058,78.85,89,100,6.71,overcast clouds
