City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Altay,CN,2021-09-16 15:11:41,47.8667,88.1167,60.26,27,84,5.08
68,New Norfolk,AU,2021-09-16 15:11:41,-42.7826,147.0587,44.91,72,98,1.3
69,Bonavista,CA,2021-09-16 15:11:42,48.6499,-53.1147,65.12,87,100,28.77
70,Alofi,NU,2021-09-16 15:11:42,-19.0595,-169.9187,77.67,71,60,18.32
71,Songadh,IN,2021-09-16 15:11:43,21.1667,73.5667,76.42,87,29,11.65
72,Aguimes,ES,2021-09-16 15:11:43,27.9054,-15.4461,78.01,62,20,26.46
73,Port Elizabeth,ZA,2021-09-16 15:11:43,-33.918,25.5701,56.1,64,78,17.25
74,Faanui,PF,2021-09-16 15:11:44,-16.4833,-151.75,78.3,75,15,22.95
75,Ribeira Grande,PT,2021-09-16 15:11:45,38.5167,-28.7,75.6,78,20,11.5
76,Dingle,PH,2021-09-16 15:11:45,10.9995,122.6711,74.61,94,100,4.92
77,Sao Francisco,BR,2021-09-16 15:11:45,-15.9486,-44.8644,97.09,15,0,11.54
78,Mount Isa,AU,2021-09-16 15:09:21,-20.7333,139.5,62.37,42,5,0.0
79,Torbay,CA,2021-09-16 15:11:46,47.6666,-52.7314,66.76,79,86,24.49
80,Severo-Kurilsk,RU,2021-09-16 15:11:46,50.6789,156.125,48.52,82,1,8.41
81,Bethel,US,2021-09-16 15:09:12,41.3712,-73.414,74.12,84,90,6.91
82,Springfield,US,2021-09-16 15:11:47,37.2153,-93.2982,76.55,77,1,8.01
83,Bambanglipuro,ID,2021-09-16 15:11:47,-7.95,110.2833,76.91,87,40,6.64
84,Vlore,AL,2021-09-16 15:11:47,40.4667,19.4897,80.91,43,49,3.91
85,Haines Junction,CA,2021-09-16 15:09:48,60.7522,-137.5108,36.18,93,100,3.67
86,Bayir,TR,2021-09-16 15:11:48,37.2687,28.2167,81.43,33,2,13.53
87,Lorengau,PG,2021-09-16 15:11:49,-2.0226,147.2712,78.33,81,99,4.45
88,Tuktoyaktuk,CA,2021-09-16 15:11:49,69.4541,-133.0374,39.2,100,40,6.91
89,Hilo,US,2021-09-16 15:10:56,19.7297,-155.09,77.29,90,75,5.75
90,Bluff,NZ,2021-09-16 15:11:50,-46.6,168.3333,36.81,74,69,12.17
91,Seoul,KR,2021-09-16 15:07:38,37.5683,126.9778,71.11,63,100,3.83
92,Morros,BR,2021-09-16 15:11:50,-9.4467,-46.3003,98.29,18,0,6.53
93,Tezpur,IN,2021-09-16 15:11:51,26.6333,92.8,81.07,84,100,3.51
94,Ust-Kuyga,RU,2021-09-16 15:11:51,70.0167,135.6,42.66,88,100,6.91
95,Maniwaki,CA,2021-09-16 15:11:51,46.3834,-75.966,66.24,60,69,4.72
96,Hami,CN,2021-09-16 15:11:52,42.8,93.45,79.11,15,20,3.65
97,Cayenne,GF,2021-09-16 15:11:53,4.9333,-52.3333,89.64,73,75,4.0
98,Fairhope,US,2021-09-16 15:11:53,30.523,-87.9033,83.95,81,75,7.0
99,Alice Springs,AU,2021-09-16 15:11:53,-23.7,133.8833,85.55,17,36,16.11
100,Mar Del Plata,AR,2021-09-16 15:08:35,-38.0023,-57.5575,69.82,37,0,10.36
101,Provideniya,RU,2021-09-16 15:10:24,64.3833,-173.3,37.76,74,100,2.17
102,Quatre Cocos,MU,2021-09-16 15:11:54,-20.2078,57.7625,71.1,83,15,6.98
103,Sakakah,SA,2021-09-16 15:11:55,29.9697,40.2064,95.72,14,0,10.09
104,Masumbwe,TZ,2021-09-16 15:11:55,-3.6333,32.1833,86.25,31,87,3.24
105,Sungaipenuh,ID,2021-09-16 15:11:55,-2.0833,101.3833,66.38,96,99,2.98
106,Tasiilaq,GL,2021-09-16 15:10:05,65.6145,-37.6368,39.36,70,36,5.06
107,Brive-La-Gaillarde,FR,2021-09-16 15:11:56,45.25,1.5,71.28,93,38,3.11
108,Bainbridge,US,2021-09-16 15:10:23,47.6262,-122.5212,52.14,87,1,1.01
109,Dauphin,CA,2021-09-16 15:11:57,51.1494,-100.0502,57.36,34,100,12.26
110,Abay,KZ,2021-09-16 15:11:57,49.6311,72.8539,61.18,29,0,9.57
111,Klaksvik,FO,2021-09-16 15:11:57,62.2266,-6.589,52.72,84,30,13.96
112,Nizhniy Kuranakh,RU,2021-09-16 15:11:58,58.8353,125.4869,36.34,100,100,6.8
113,Haikou,CN,2021-09-16 15:11:58,20.0458,110.3417,80.76,84,88,6.85
114,Chapais,CA,2021-09-16 15:10:08,49.7834,-74.8492,53.38,63,4,8.14
115,Codrington,AU,2021-09-16 15:11:59,-38.2667,141.9667,45.86,80,20,10.13
116,Dikson,RU,2021-09-16 15:11:59,73.5069,80.5464,36.43,85,100,21.74
117,Oktyabrskoye,RU,2021-09-16 15:12:00,43.0645,44.7417,68.31,58,97,1.9
118,Pangkalanbuun,ID,2021-09-16 15:08:01,-2.6833,111.6167,75.56,88,95,2.53
119,East London,ZA,2021-09-16 15:09:14,-33.0153,27.9116,61.32,73,49,15.21
120,Busselton,AU,2021-09-16 15:12:00,-33.65,115.3333,44.1,72,88,11.25
121,Souillac,MU,2021-09-16 15:08:57,-20.5167,57.5167,71.37,81,32,8.72
122,Avera,US,2021-09-16 15:12:01,33.194,-82.5271,73.27,95,100,9.13
123,Nikolskoye,RU,2021-09-16 15:12:01,59.7035,30.7861,47.01,60,97,5.01
124,Nouadhibou,MR,2021-09-16 15:12:02,20.931,-17.0347,72.12,82,1,23.13
125,Saint-Philippe,RE,2021-09-16 15:08:34,-21.3585,55.7679,74.75,83,46,9.1
126,Hithadhoo,MV,2021-09-16 15:12:03,-0.6,73.0833,83.91,70,100,10.63
127,Lasa,IT,2021-09-16 15:12:03,46.6166,10.7002,66.94,91,100,2.3
128,Biak,ID,2021-09-16 15:12:04,-0.9131,122.8766,74.08,87,100,5.64
129,Daura,NG,2021-09-16 15:12:05,11.5538,11.4085,95.77,33,100,5.88
130,Nome,US,2021-09-16 15:09:47,64.5011,-165.4064,42.87,82,90,5.75
131,Dunedin,NZ,2021-09-16 15:12:05,-45.8742,170.5036,42.8,73,98,4.32
132,Labelle,US,2021-09-16 15:09:44,26.7617,-81.4384,87.03,66,80,5.82
133,Kangaatsiaq,GL,2021-09-16 15:12:07,68.3065,-53.4641,31.55,66,9,13.4
134,Mayna,RU,2021-09-16 15:12:08,54.1135,47.6231,45.55,56,96,10.6
135,Zaysan,KZ,2021-09-16 15:09:16,47.4667,84.8667,65.73,26,99,7.74
136,Aklavik,CA,2021-09-16 15:12:09,68.2191,-135.0107,39.2,100,90,3.44
137,Narsaq,GL,2021-09-16 15:12:09,60.9167,-46.05,41.22,63,100,4.32
138,Pevek,RU,2021-09-16 15:12:09,69.7008,170.3133,31.51,96,100,14.67
139,Talnakh,RU,2021-09-16 15:12:10,69.4865,88.3972,38.53,89,96,5.44
140,Buraydah,SA,2021-09-16 15:12:10,26.326,43.975,93.24,13,0,10.58
141,Norman Wells,CA,2021-09-16 15:09:36,65.282,-126.8329,40.91,90,69,5.95
142,Cidreira,BR,2021-09-16 15:10:40,-30.1811,-50.2056,61.81,53,2,6.85
143,Puerto Ayora,EC,2021-09-16 15:08:36,-0.7393,-90.3518,71.56,90,97,5.99
144,Beroroha,MG,2021-09-16 15:12:11,-21.6667,45.1667,87.57,24,0,4.0
145,Henties Bay,NA,2021-09-16 15:12:12,-22.116,14.2845,58.86,71,1,12.75
146,Katsuura,JP,2021-09-16 15:12:12,35.1333,140.3,69.91,77,84,12.3
147,Westport,US,2021-09-16 15:12:13,41.1415,-73.3579,75.9,84,90,1.01
148,Canton,CN,2021-09-16 15:12:13,23.1167,113.25,80.94,69,86,3.85
149,Bhojudih,IN,2021-09-16 15:12:14,23.6333,86.45,79.99,86,100,4.81
150,Cabo San Lucas,MX,2021-09-16 15:12:14,22.8909,-109.9124,84.51,79,1,3.44
151,Chuy,UY,2021-09-16 15:08:52,-33.6971,-53.4616,64.11,56,0,1.21
152,Sitka,US,2021-09-16 15:12:14,57.0531,-135.33,51.69,71,90,11.5
153,Cockburn Town,TC,2021-09-16 15:12:15,21.4612,-71.1419,83.17,78,6,15.41
154,Beringovskiy,RU,2021-09-16 15:12:15,63.05,179.3167,39.31,72,100,6.31
155,Ponta Do Sol,PT,2021-09-16 15:12:16,32.6667,-17.1,79.43,72,31,3.44
156,Longyearbyen,SJ,2021-09-16 15:08:37,78.2186,15.6401,42.64,75,75,14.97
157,La Asuncion,VE,2021-09-16 15:12:16,11.0333,-63.8628,84.63,69,14,13.51
158,Vanimo,PG,2021-09-16 15:11:23,-2.6741,141.3028,75.27,94,100,7.49
159,Kaitangata,NZ,2021-09-16 15:12:17,-46.2817,169.8464,40.23,80,99,3.74
160,Bucak,TR,2021-09-16 15:12:17,37.4592,30.595,77.04,48,36,8.46
161,De Aar,ZA,2021-09-16 15:12:18,-30.6497,24.0123,61.21,13,0,17.96
162,Maxixe,MZ,2021-09-16 15:12:18,-23.8597,35.3472,76.98,71,1,10.51
